timestamp=17853506117630, VA=000080011ee00000-000080012ee00000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd621520
timestamp=17853506213941, VA=0000800000041000-000080000007d280, binding_type=bind, object_type=VK_OBJECT_TYPE_DESCRIPTOR_POOL, object_handle=0x611dcd661610
timestamp=17853506463642, VA=000080011d281800-000080011d2b1900, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd638c70
timestamp=17853506487968, VA=00008001022c8000-00008001022d0000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5ed2a0
timestamp=17853506497345, VA=000080011d2b1900-000080011d2e1a00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5efb30
timestamp=17853506515680, VA=00008001022d0000-00008001022d8000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5efc10
timestamp=17853506529235, VA=000080011d2e1a00-000080011d311b00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5f1400
timestamp=17853506548762, VA=00008001022d8000-00008001022e0000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5f14e0
timestamp=17853506555224, VA=000080011d311b00-000080011d341c00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5f2cd0
timestamp=17853506576063, VA=00008001022e0000-00008001022e8000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5f2db0
timestamp=17853506586784, VA=000080011d341c00-000080011d371d00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5f4670
timestamp=17853506608895, VA=00008001022e8000-00008001022f0000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5f4750
timestamp=17853506615017, VA=000080011d371d00-000080011d3a1e00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5f5f40
timestamp=17853506642799, VA=00008001022f0000-00008001022f8000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5f6020
timestamp=17853506652618, VA=000080011d3a1e00-000080011d3d1f00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5f7810
timestamp=17853506677154, VA=00008001022f8000-0000800102300000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5f78f0
timestamp=17853506684357, VA=000080011d3d1f00-000080011d402000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5f90e0
timestamp=17853506707010, VA=0000800102300000-0000800102308000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5f91c0
timestamp=17853506716548, VA=000080011d402000-000080011d432100, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5facd0
timestamp=17853506736886, VA=0000800102308000-0000800102310000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5fadb0
timestamp=17853506744070, VA=000080011d432100-000080011d462200, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5fc5a0
timestamp=17853506765370, VA=0000800102310000-0000800102318000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5fc680
timestamp=17853506774678, VA=000080011d462200-000080011d492300, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5fdf40
timestamp=17853506796198, VA=0000800102318000-0000800102320000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5fe020
timestamp=17853506802540, VA=000080011d492300-000080011d4c2400, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5ff810
timestamp=17853506822748, VA=0000800102320000-0000800102328000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd5ff8f0
timestamp=17853507058051, VA=000080011d4c2400-000080011d4f2500, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd45e430
timestamp=17853507076716, VA=0000800102328000-0000800102330000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd45e4b0
timestamp=17853507083319, VA=000080011d4f2500-000080011d522600, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd45fcf0
timestamp=17853507101553, VA=0000800102330000-0000800102338000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd45fdd0
timestamp=17853507112594, VA=000080011d522600-000080011d552700, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd4615c0
timestamp=17853507132592, VA=0000800102338000-0000800102340000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd4616a0
timestamp=17853507141779, VA=000080011d552700-000080011d582800, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd4635f0
timestamp=17853507161917, VA=0000800102340000-0000800102348000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd463da0
timestamp=17853507171475, VA=000080011d582800-000080011d5b2900, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd465590
timestamp=17853507190701, VA=0000800102348000-0000800102350000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd465670
timestamp=17853507198346, VA=000080011d5b2900-000080011d5e2a00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd467180
timestamp=17853507217532, VA=0000800102350000-0000800102358000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd467260
timestamp=17853507227270, VA=000080011d5e2a00-000080011d612b00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd468a50
timestamp=17853507249241, VA=0000800102358000-0000800102360000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd468b30
timestamp=17853507256265, VA=000080011d612b00-000080011d642c00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd46a440
timestamp=17853507277414, VA=0000800102360000-0000800102368000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd46a520
timestamp=17853507286532, VA=000080011d642c00-000080011d672d00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd46bd10
timestamp=17853507308082, VA=0000800102368000-0000800102370000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd46bdf0
timestamp=17853507314985, VA=000080011d672d00-000080011d6a2e00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd46d5e0
timestamp=17853507335564, VA=0000800102370000-0000800102378000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd46d6c0
timestamp=17853507344591, VA=000080011d6a2e00-000080011d6d2f00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd46eeb0
timestamp=17853507366021, VA=0000800102378000-0000800102380000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd46ef90
timestamp=17853507371582, VA=000080011d6d2f00-000080011d703000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd470780
timestamp=17853507395557, VA=0000800102380000-0000800102388000, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd470860
timestamp=17853507508229, VA=000080000007e000-0000800000082000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x611dcca324e0
timestamp=17853507825567, VA=00008001069c0000-00008001069c7000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcd47f250
timestamp=17853507831087, VA=00008001069c0000-00008001069c6910, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd4782a0
timestamp=17853507885941, VA=0000800000082000-000080000008a000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x611dcca324e0
timestamp=17853524711974, VA=000080000008a000-00008000000ca000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x611dcbe31490
timestamp=17853524834535, VA=0000800107d00000-0000800107d05000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcd4cb190
timestamp=17853524844324, VA=0000800107d00000-0000800107d04b00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x611dcd4f4740
timestamp=17853524865113, VA=00008000000ca000-00008000000da000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x611dcca324e0
timestamp=17853524897153, VA=0000800107d40000-0000800107d41000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x611dcd515130
